"","region","exam_name","exam_type","language","file_url","parent"
"140",NA,"Esthetics Particle Microderm","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_SPN-Sect.-7-Particle-Microderm-Eff.-1.1.20-v.2.26.20.f-1.pdf","Esthetics"
"141",NA,"Esthetics Eyelash Enhancement","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_SPN-Sect.-8-Eyelash-Enhance_Eff.-1.1.20-v.2.26.20.f_-1.pdf","Esthetics"
"142",NA,"Esthetics Hair Removal of the Upper Lip with Hard Wax","Additional Section","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_SPN-Sect.-9-Hair-Rem._Upper_Lip_Eff.-1.1.20-v.2.26.20.f-1.pdf","Esthetics"
"143",NA,"Esthetics","Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_VIET-Eff.-1.1.2020-v.8.11.20.f.pdf","Esthetics"
"144",NA,"Esthetics Particle Microderm","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_VIET-Sect.-7-Particle-Microderm-Eff.-1.1.20-v.2.26.20.f-2.pdf","Esthetics"
"145",NA,"Esthetics Eyelash Enhancement","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_VIET-Sect.-8-Eyelash-Enhance_Eff.-1.1.20-v.2.26.20.f_.pdf","Esthetics"
"146",NA,"Esthetics Hair Removal of the Upper Lip with Hard Wax","Additional Section","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_VIET_Sect.-9-Hair-Rem_Upper-Lip_Eff.-1.1.20-v.2.26.20.f-2.pdf","Esthetics"
"147",NA,"Esthetics","Written Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics-Written-Practical_ENG_CIB_FINAL_kor.pdf","Esthetics"
"148",NA,"Esthetics","Written Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics-Written-Practical_ENG_CIB_FINAL_spa-M9.pdf","Esthetics"
"149",NA,"Esthetics","Written Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics-Written-Practical_ENG_CIB_FINAL_vie.pdf","Esthetics"
"150",NA,"Hair Design","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Hair-Design_Theory_KOR_CIB-Eff.-5.2016-v.3.1.20.f-1.pdf","Hair Design"
"151",NA,"Hair Design","Theory","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Hair-Design_Theory_SPN_CIB-Eff.-5.2016-v.3.1.20.f-1.pdf","Hair Design"
"152",NA,"Hair Design","Theory","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Hair-Design_Theory_VIE_CIB-Eff.-5.2016-v.3.1.20.f-1.pdf","Hair Design"
"153",NA,"Instructor","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor_Theory_CIB_KOR_Eff.-7.1.2022-3.pdf","Instructor"
"154",NA,"Instructor","Theory","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor_Theory_CIB_SPN_Eff.-7.1.2022-1.pdf","Instructor"
"155",NA,"Instructor","Theory","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor_Theory_CIB_VIE_Eff.-7.1.2022-1.pdf","Instructor"
"156",NA,"Instructor","Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor-Practical_CIB_KOR_Eff.7.1.22-1.pdf","Instructor"
"157",NA,"Instructor","Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor-Practical_CIB_SPN_Eff.-7.122.pdf","Instructor"
"158",NA,"Instructor","Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Instructor-Practical_CIB_VIE_Eff.7.1.22-1.pdf","Instructor"
"159",NA,"Nail Technology","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Theory_CIB-_KOR_Eff-7.1.20-v.2.26.20-6-23-23.pdf","Nail Technology"
"160",NA,"Nail Technology","Theory","Russian","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Theory_CIB-_RUS_Eff-7.1.20-v.2.26.20-6-23-23.pdf","Nail Technology"
"161",NA,"Nail Technology","Theory","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Theory_CIB-_SPN_Eff-7.1.20-v.2.26.20-6-23-23.pdf","Nail Technology"
"162",NA,"Nail Technology","Theory","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Theory_CIB-_VIE_Eff-7.1.20-v.2.26.20-6-23-23.pdf","Nail Technology"
"163",NA,"Nail Technology","Practical","Russian","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Practical_CIB-_RUS_Eff.-7.1.20-v.5.6.21-Monomer-06-23-23.pdf","Nail Technology"
"164",NA,"Nail Technology","Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Practical_CIB-_SPN_Eff.-7.1.20-v.6.21.21-Monomer-06-23-23.pdf","Nail Technology"
"165",NA,"Nail Technology","Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail_Technology_Practical_CIB-_VIET_Eff.-7.1.20-v.6.21.21-Monomer-06-23-23.pdf","Nail Technology"
"166",NA,"Nail Technology","Written Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail-Technology-Written-Practical_ENG_CIB_FINAL_kor-06-23-23.pdf","Nail Technology"
"167",NA,"Nail Technology","Written Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail-Technology-Written-Practical_ENG_CIB_FINAL_spa-M9-06-23-23.pdf","Nail Technology"
"168",NA,"Nail Technology","Written Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Nail-Technology-Written-Practical_ENG_CIB_FINAL_vie-06-23-23.pdf","Nail Technology"
